Time,X_estimated,Y_estimated,Psi_estimated,Roll_estimated,Rollrate_estimated,Delta_estimated,Velocity_estimated,GPS_X,GPS_Y,a_y,w_x,w_z,Delta_enc,Velocity,Steerrate
43.31,31.8425638483715,52.7958645735408,2.13158636589881,-0.00060358876289463,-0.0188136006154722,-0.0205903712245003,1.99995568926357,31.8530559161943,52.7788322843336,-0.0323848872711422,-0.0182366989628735,-0.0353415000577315,-0.0205912772470482,2,0.0435783533935889
43.32,31.8320755342748,52.8128942041332,2.1312329664486,-0.000824695371726247,-0.0189739553045291,-0.020146958202334,1.99995608479005,31.8530559161943,52.7788322843336,-0.0284884675745764,-0.0183871489930178,-0.0345805361545196,-0.0201479112699268,2,0.0443365977121403
43.33,31.8215900370869,52.8299255354504,2.13088717744488,-0.00104691753749256,-0.0191312216247708,-0.0196960373321447,1.99995647678599,31.8530559161943,52.7788322843336,-0.024560581642864,-0.0185346115859249,-0.0338066858218367,-0.0196970371779397,2,0.0450874091987143
43.34,31.8111071728983,52.8469584538377,2.13054912774735,-0.00127022504350274,-0.0192853783441705,-0.0192376835340475,1.99995686528289,31.8530559161943,52.7788322843336,-0.020601867385344,-0.0186790644295696,-0.0330200775504131,-0.0192387298345828,2,0.0458307343356843
43.35,31.8006267560736,52.8639928447453,2.13021894492985,-0.00149458353356943,-0.0194364023363391,-0.0187719725813843,1.99995725031199,31.8530559161943,52.7788322843336,-0.0166129674153363,-0.0188204853840388,-0.0322208414934242,-0.018773065071955,2,0.0465664762627881
43.36,31.7901485992837,52.8810285927412,2.1298967552657,-0.00171995736964788,-0.0195842703691288,-0.0182989813498171,1.99995763190425,31.8530559161943,52.7788322843336,-0.0125945289856925,-0.0189588526782095,-0.0314091096572977,-0.0183001198019287,2,0.0472945270026249
43.37,31.7796725135385,52.8980655815246,2.12958268370876,-0.00194631045118613,-0.0197289595719983,-0.0178187878388228,1.99995801009033,31.8530559161943,52.7788322843336,-0.00854720390302897,-0.0190941449618353,-0.0305850159366774,-0.0178199720365219,2,0.0480147765406821
43.38,31.769198308221,52.9151036939392,2.12927685387418,-0.002173606447043,-0.0198704475418737,-0.0173314711556653,1.99995838490065,31.8530559161943,52.7788322843336,-0.00447164843644829,-0.0192263413184049,-0.0297486961070559,-0.0173327008836051,2,0.0487271152916775
43.39,31.7587257911222,52.9321428119865,2.12897938801934,-0.00240180886048275,-0.0200087123572413,-0.0168371114978438,1.99995875636534,31.8530559161943,52.7788322843336,-0.000368523224913873,-0.0193554212682598,-0.0289002878067985,-0.016838386536428,2,0.049431434717713
43.4,31.7482534288403,52.949177279898,2.12870698059048,-0.0026308810480991,-0.0201437325733192,-0.0163357901382239,1.99995825246486,31.7482533498091,52.9491743410952,0.00376150681577048,-0.0194813647698461,-0.0280399305170057,-0.0163371102618867,2,0.0501276274541309
