Time,X,Y,Psi,Roll,Rollrate,Delta,Velocity
73.035,-20.7696411539362,63.1062414049198,-2.53375499771252,0.0138359516718739,0.00628788660775895,-0.0372263531508423,2
73.04,-20.777939858562,63.1006618438763,-2.53438979868419,0.0138669803601216,0.00612288107813962,-0.037477127266141,2
73.045,-20.786242693691,63.0950884312118,-2.53438979868419,0.0138971934744468,0.00596166736485546,-0.0377230483120782,2
73.05,-20.7945461132333,63.0895158892593,-2.53503321518615,0.0139265900904348,0.00579626870474001,-0.0379689693580154,2
73.055,-20.8028536944909,63.0839495535201,-2.53503321518615,0.0139551692688117,0.0056347027834775,-0.0382100029629612,2
73.06,-20.8111618478354,63.0783840716977,-2.53568508067971,0.0139829301492468,0.00546893646161436,-0.038451036567907,2
73.065,-20.8194741929768,63.072824852493,-2.53568508067971,0.0140098718542919,0.00530704322601248,-0.0386871491039127,2
73.07,-20.8277870978238,63.0672664702715,-2.53634522743644,0.0140359935878675,0.00514093478151606,-0.0389232616399184,2
73.075,-20.8361042234185,63.0617144056321,-2.53634522743644,0.0140612945345058,0.00497873918342595,-0.0391544202312533,2
73.08,-20.8444218962851,63.0561631609064,-2.5370134865635,0.0140857739625203,0.00481231421578032,-0.0393855788225882,2
73.085,-20.8527438177189,63.0506182872765,-2.5370134865635,0.0141094311185648,0.00464984125991481,-0.03961175135134,2
73.09,-20.8610662739408,63.0450742163573,-2.53768968802938,0.0141322653354736,0.00448312542348888,-0.0398379238800919,2
73.095,-20.8693930054183,63.039536568587,-2.53768968802938,0.0141542759221528,0.00432040016291091,-0.0400590789910961,2
73.1,-20.8777202591525,63.0339997061928,-2.53837366068978,0.0141754622760737,0.00415341916232754,-0.0402802341021003,2
73.105,-20.8860518136952,63.0284693175238,-2.53837366068978,0.0141958237841797,0.0039904729789947,-0.0404963374140984,2
73.11,-20.8943838779092,63.0229396967536,-2.53906523231372,0.0142153599247193,0.00382325896061119,-0.0407124407260965,2
73.115,-20.9027202673541,63.0174165988043,-2.53906523231372,0.0142340701329353,0.00366011130166545,-0.0409234659934189,2
73.12,-20.9110571538505,63.0118942511624,-2.53976422947943,0.0142519539374001,0.00349268426923227,-0.0411344912607413,2
73.125,-20.9193983888741,63.0063784739537,-2.53976422947943,0.0142690108344585,0.00332935971463749,-0.0413404098167895,2
73.13,-20.9277401082905,63.0008634293378,-2.54047047785388,0.0142852404160914,0.0031617448943648,-0.0415463283728377,2
73.135,-20.9360861984021,62.9953550012693,-2.54047047785388,0.0143006422409606,0.00299826850767523,-0.0417471120458102,2
73.14,-20.9444327602101,62.9898472879575,-2.54118380210949,0.0143152159656814,0.00283049161860169,-0.0419478957187827,2
73.145,-20.9527837137541,62.9843462357993,-2.54118380210949,0.0143289612115992,0.00266688860653678,-0.0421435170481967,2
73.15,-20.9611351262627,62.9788458804423,-2.54190402594112,0.0143418777003215,0.0024989755142123,-0.0423391383776106,2
73.155,-20.9694909504223,62.9733522293285,-2.54190402594112,0.0143539651160016,0.00233527112954262,-0.0425295706767501,2
73.16,-20.9778472207817,62.9678592569433,-2.54263097209051,0.0143652232453489,0.00216724774720349,-0.0427200029758897,2
73.165,-20.9862079215827,62.9623730303653,-2.54263097209051,0.0143756518353783,0.00200346726021108,-0.0429052203507726,2
73.17,-20.9945690557884,62.9568874643288,-2.54336446237284,0.014385250737938,0.00183535951970895,-0.0430904377256555,2
73.175,-21.0029346381041,62.9514086841296,-2.54336446237284,0.014394019762933,0.00167152820825933,-0.0432704150821191,2
73.18,-21.0113006410013,62.9459305461727,-2.54410431770399,0.0144019588273616,0.00150336204992301,-0.0434503924385827,2
73.185,-21.0196711085567,62.9404592325409,-2.54410431770399,0.0144090678040348,0.00133950519416892,-0.0436251054863208,2
73.19,-21.0280419838448,62.934988542743,-2.5448503581281,0.0144153466750989,0.00117130656137854,-0.043799818534059,2
73.195,-21.0364173392218,62.9295247142075,-2.5448503581281,0.0144207953762751,0.00100744943936184,-0.0439692437899622,2
